#TYPE=EXTENDED
#OBSCODE=HRHA
#SOFTWARE=VPhot 3.1
#DELIM=,
#DATE=JD
#OBSTYPE=CCD
#NAME,DATE,MAG,MERR,FILT,TRANS,MTYPE,CNAME,CMAG,KNAME,KMAG,AMASS,GROUP,CHART,NOTES
M15-S257,2455478.64684,-1.950,0.064,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S244,2455478.64684,-1.503,0.105,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S1631,2455478.64684,1.507,0.049,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S155,2455478.64684,-0.984,0.342,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S2047,2455478.64684,-0.272,0.014,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S1606,2455478.64684,-0.023,0.012,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S515,2455478.64684,0.433,0.052,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S156,2455478.64684,-0.547,0.085,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S162,2455478.64684,-1.604,0.104,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S204,2455478.64684,-0.558,0.080,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S694,2455478.64684,-0.263,0.011,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S1980,2455478.64684,-0.623,0.033,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S437,2455478.64684,-1.234,0.068,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S201,2455478.64684,-0.862,0.043,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S429,2455478.64684,-0.261,0.073,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S1729,2455478.64684,0.707,0.034,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S1349,2455478.64684,-2.412,0.045,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S1348,2455478.64684,-1.541,0.055,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S1347,2455478.64684,0.509,0.076,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S1346,2455478.64684,-2.462,0.085,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S2006,2455478.64684,0.036,0.034,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S2005,2455478.64684,-0.400,0.045,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S1343,2455478.64684,-0.834,0.179,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S1722,2455478.64684,0.026,0.028,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S1341,2455478.64684,-0.630,0.188,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S1340,2455478.64684,-1.162,0.088,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S2000,2455478.64684,-1.602,0.007,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
