#TYPE=EXTENDED
#OBSCODE=HRHA
#SOFTWARE=VPhot 3.1
#DELIM=,
#DATE=JD
#OBSTYPE=CCD
#NAME,DATE,MAG,MERR,FILT,TRANS,MTYPE,CNAME,CMAG,KNAME,KMAG,AMASS,GROUP,CHART,NOTES
M15-S257,2455499.67436,-1.870,0.068,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S244,2455499.67436,-1.664,0.099,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S1631,2455499.67436,1.477,0.041,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S155,2455499.67436,-1.480,0.231,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S2047,2455499.67436,-0.285,0.012,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S1606,2455499.67436,-0.039,0.010,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S515,2455499.67436,0.062,0.039,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S156,2455499.67436,-0.613,0.086,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S162,2455499.67436,-1.631,0.105,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S204,2455499.67436,-0.703,0.078,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S694,2455499.67436,-0.269,0.010,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S1980,2455499.67436,-0.746,0.040,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S437,2455499.67436,-1.261,0.087,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S201,2455499.67436,-0.884,0.041,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
