#TYPE=EXTENDED
#OBSCODE=HRHA
#SOFTWARE=VPhot 3.1
#DELIM=,
#DATE=JD
#OBSTYPE=CCD
#NAME,DATE,MAG,MERR,FILT,TRANS,MTYPE,CNAME,CMAG,KNAME,KMAG,AMASS,GROUP,CHART,NOTES
M15-S257,2455498.60009,-1.956,0.062,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S244,2455498.60009,-1.589,0.100,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S1631,2455498.60009,1.490,0.037,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S155,2455498.60009,-1.236,0.274,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S2047,2455498.60009,-0.265,0.011,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S1606,2455498.60009,-0.008,0.010,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S515,2455498.60009,0.004,0.036,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S156,2455498.60009,-0.586,0.083,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S162,2455498.60009,-1.620,0.110,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S204,2455498.60009,-0.590,0.080,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S694,2455498.60009,-0.249,0.010,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S1980,2455498.60009,-0.667,0.032,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S437,2455498.60009,-1.289,0.073,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S201,2455498.60009,-0.863,0.043,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S429,2455498.60009,-0.182,0.076,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S1729,2455498.60009,0.691,0.035,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S1349,2455498.60009,-2.446,0.046,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S1348,2455498.60009,-1.602,0.050,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S1347,2455498.60009,0.475,0.075,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S1346,2455498.60009,-2.453,0.085,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S2006,2455498.60009,-0.002,0.033,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S2005,2455498.60009,-0.617,0.042,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S1343,2455498.60009,-0.880,0.164,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S1722,2455498.60009,0.012,0.028,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S1341,2455498.60009,-0.678,0.183,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S1340,2455498.60009,-1.301,0.076,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S2000,2455498.60009,-1.605,0.008,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S177,2455498.60009,-1.397,0.075,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S216,2455498.60009,-1.419,0.128,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-AC750,2455498.60009,-2.229,0.148,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S1649,2455498.60009,0.528,0.027,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S1648,2455498.60009,0.392,0.021,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S1619,2455498.60009,-0.937,0.008,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S1617,2455498.60009,-0.057,0.013,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-AC681,2455498.60009,-0.952,0.257,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S1614,2455498.60009,0.371,0.022,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S1613,2455498.60009,0.463,0.016,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S1522,2455498.60009,1.903,0.045,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S1996,2455498.60009,-1.151,0.035,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S1995,2455498.60009,0.195,0.016,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S182,2455498.60009,-1.661,0.058,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S225,2455498.60009,-1.971,0.075,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S2207,2455498.60009,-1.213,0.018,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S1991,2455498.60009,1.425,0.065,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S206,2455498.60009,-0.591,0.079,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
M15-S205,2455498.60009,-1.929,0.024,SG,NO,ABS,M15-S1747,-4.255,M15-S1783,-3.992,1.07129,0,110114,NGC7078 K28 Sloan G next 21 images
